EVTYPE;EVTYPE_New
RAIN/WIND;RAINSTORM
RAIN/SNOW;SNOWSTORM
Rain Damage;RAINSTORM
RAIN AND WIND;RAINSTORM
RAIN (HEAVY);HEAVY RAINS
RAIN;RAIN
PROLONGED RAIN;RAIN
PROLONG WARMTH;PROLONG WARMTH
PROLONG COLD/SNOW;PROLONG COLD/SNOW
PROLONG COLD;PROLONG COLD/SNOW
Prolong Cold;PROLONG COLD/SNOW
PATCHY ICE;PATCHY ICE
PATCHY DENSE FOG;PATCHY DENSE FOG
OTHER;No specific Event identified
Other;No specific Event identified
NORTHERN LIGHTS;NORTHERN LIGHTS
NORMAL PRECIPITATION;NORMAL PRECIPITATION
NONE;No specific Event identified
NON TSTM WIND;No specific Event identified
NON SEVERE HAIL;No specific Event identified
NON-TSTM WIND;No specific Event identified
NON-SEVERE WIND DAMAGE;No specific Event identified
No Severe Weather;No specific Event identified
NEAR RECORD SNOW;SNOWFALL RECORD
MUDSLIDES;MUDSLIDES
Mudslides;MUDSLIDES
MUDSLIDE/LANDSLIDE;MUDSLIDES
MUDSLIDE;MUDSLIDES
Mudslide;MUDSLIDES
MUD/ROCK SLIDE;MUDSLIDES
MUD SLIDES URBAN FLOODING;MUDSLIDES
MUD SLIDES;MUDSLIDES
MUD SLIDE;MUDSLIDES
Mountain Snows;SNOW
MONTHLY TEMPERATURE;MONTHLY TEMPERATURE
MONTHLY SNOWFALL;SNOW
Monthly Snowfall;SNOW
MONTHLY RAINFALL;SNOW
Monthly Rainfall;RAIN
MONTHLY PRECIPITATION;RAIN
MODERATE SNOWFALL;SNOW
MODERATE SNOW;SNOW
MIXED PRECIPITATION;MIXED PRECIPITATION
Mixed Precipitation;MIXED PRECIPITATION
MIXED PRECIP;MIXED PRECIPITATION
MINOR FLOODING;MINOR FLOODING
Minor Flooding;MINOR FLOODING
MINOR FLOOD;MINOR FLOODING
MILD/DRY PATTERN;MILD PATTERN
MILD PATTERN;MILD PATTERN
Mild and Dry Pattern;MILD PATTERN
MICROBURST WINDS;MICROBURST WINDS
MICROBURST;MICROBURST WINDS
Microburst;MICROBURST WINDS
Metro Storm, May 26;Metro Storm
MARINE TSTM WIND;MARINE THUNDERSTORM WIND
MARINE THUNDERSTORM WIND;MARINE THUNDERSTORM WIND
MARINE STRONG WIND;MARINE THUNDERSTORM WIND
MARINE MISHAP;MARINE THUNDERSTORM WIND
MARINE HIGH WIND;MARINE THUNDERSTORM WIND
MARINE HAIL;MARINE HAIL
Marine Accident;Marine Accident
MAJOR FLOOD;MAJOR FLOOD
LOW WIND CHILL;LOW WIND CHILL
LOW TEMPERATURE RECORD;LOW TEMPERATURE
LOW TEMPERATURE;LOW TEMPERATURE
LOCALLY HEAVY RAIN;LOCALLY HEAVY RAIN
LOCAL FLOOD;LOCAL FLOOD
LOCAL FLASH FLOOD;LOCAL FLOOD
LIGNTNING;LIGNTNING
LIGHTNING/HEAVY RAIN;LIGNTNING
LIGHTNING.;LIGNTNING
LIGHTNING THUNDERSTORM WINDSS;LIGNTNING
LIGHTNING THUNDERSTORM WINDS;LIGNTNING
LIGHTNING INJURY;LIGNTNING
LIGHTNING FIRE;LIGNTNING
LIGHTNING DAMAGE;LIGNTNING
LIGHTNING AND WINDS;LIGNTNING
LIGHTNING AND THUNDERSTORM WIN;LIGNTNING
LIGHTNING AND HEAVY RAIN;LIGNTNING
LIGHTNING  WAUSEON;LIGNTNING
LIGHTNING;LIGNTNING
LIGHTING;LIGNTNING
Light Snowfall;LIGHT SNOW
LIGHT SNOW/FREEZING PRECIP;LIGHT SNOW
Light Snow/Flurries;LIGHT SNOW
LIGHT SNOW AND SLEET;LIGHT SNOW
LIGHT SNOW;LIGHT SNOW
Light Snow;LIGHT SNOW
Light snow;LIGHT SNOW
LIGHT FREEZING RAIN;LIGHT FREEZING RAIN
LATE SNOW;LIGHT SNOW
Late Season Snowfall;LATE SEASON SNOW
LATE SEASON SNOW;LATE SEASON SNOW
LATE SEASON HAIL;LATE SEASON SNOW
LATE FREEZE;LATE SEASON SNOW
Late-season Snowfall;LATE SEASON SNOW
LARGE WALL CLOUD;LARGE WALL CLOUD
LANDSPOUT;LANDSPOUT
LANDSLUMP;LANDSLUMP
Landslump;LANDSLUMP
LANDSLIDES;LANDSLIDES
LANDSLIDE/URBAN FLOOD;LANDSLIDES
LANDSLIDE;LANDSLIDES
LAKESHORE FLOOD;LAKESHORE FLOOD
LAKE FLOOD;LAKESHORE FLOOD
LAKE EFFECT SNOW;LAKE EFFECT SNOW
Lake Effect Snow;LAKE EFFECT SNOW
LAKE-EFFECT SNOW;LAKE EFFECT SNOW
LACK OF SNOW;LAKE EFFECT SNOW
ICY ROADS;ICE
Icy Roads;ICE
Icestorm/Blizzard;SNOW/ICE STORM
ICE/STRONG WINDS;SNOW/ICE STORM
ICE/SNOW;SNOW/ICE
Ice/Snow;SNOW/ICE
ICE STORM/FLASH FLOOD;SNOW/ICE STORM
ICE STORM AND SNOW;SNOW/ICE
ICE STORM;SNOW/ICE STORM
ICE ROADS;ICE
ICE PELLETS;ICE
ICE ON ROAD;ICE
ICE JAM FLOODING;ICE
Ice jam flood (minor;ICE
ICE JAM;ICE
Ice Fog;ICE
ICE FLOES;ICE
ICE AND SNOW;SNOW/ICE
ICE;ICE
HYPOTHERMIA/EXPOSURE;HYPOTHERMIA/EXPOSURE
Hypothermia/Exposure;HYPOTHERMIA/EXPOSURE
HYPOTHERMIA;HYPOTHERMIA/EXPOSURE
HYPERTHERMIA/EXPOSURE;HYPERTHERMIA/EXPOSURE
HVY RAIN;HEAVY RAINS
HURRICANE/TYPHOON;HURRICANE/TYPHOON
HURRICANE OPAL/HIGH WINDS;HURRICANE OPAL
HURRICANE OPAL;HURRICANE OPAL
HURRICANE GORDON;HURRICANE GORDON
HURRICANE FELIX;HURRICANE FELIX
HURRICANE ERIN;HURRICANE ERIN
HURRICANE EMILY;HURRICANE EMILY
Hurricane Edouard;Hurricane Edouard
HURRICANE-GENERATED SWELLS;HURRICANE-GENERATED SWELLS
HURRICANE;HURRICANE
HOT/DRY PATTERN;HOT WEATHER
HOT WEATHER;HOT WEATHER
HOT SPELL;HOT WEATHER
HOT PATTERN;HOT WEATHER
Hot and Dry;HOT WEATHER
HIGHWAY FLOODING;HIGHWAY FLOODING
HIGH WINDS/SNOW;SNOW/ICE STORM
HIGH WINDS/HEAVY RAIN;HIGH WINDS/HEAVY RAIN
HIGH WINDS/FLOODING;HIGH WINDS/FLOODING
HIGH WINDS/COLD;SNOW/ICE STORM
HIGH WINDS/COASTAL FLOOD;HIGH WINDS/COASTAL FLOOD
HIGH WINDS/;HIGH WINDS
HIGH WINDS HEAVY RAINS;HIGH WINDS/HEAVY RAIN
HIGH WINDS DUST STORM;HIGH WINDS DUST STORM
HIGH WINDS AND WIND CHILL;HIGH WINDS
HIGH WINDS 82;HIGH WINDS
HIGH WINDS 80;HIGH WINDS
HIGH WINDS 76;HIGH WINDS
HIGH WINDS 73;HIGH WINDS
HIGH WINDS 67;HIGH WINDS
HIGH WINDS 66;HIGH WINDS
HIGH WINDS 63;HIGH WINDS
HIGH WINDS 58;HIGH WINDS
HIGH WINDS 57;HIGH WINDS
HIGH WINDS 55;HIGH WINDS
HIGH WINDS;HIGH WINDS
HIGH WIND/WIND CHILL/BLIZZARD;SNOW/ICE STORM
HIGH WIND/WIND CHILL;HIGH WIND/WIND CHILL
HIGH WIND/SEAS;HIGH WIND/SEAS
HIGH WIND/LOW WIND CHILL;HIGH WINDS
HIGH WIND/HEAVY SNOW;SNOW/ICE STORM
HIGH WIND/BLIZZARD/FREEZING RA;SNOW/ICE STORM
HIGH WIND/BLIZZARD;SNOW/ICE STORM
HIGH WIND/ BLIZZARD;SNOW/ICE STORM
HIGH WIND DAMAGE;HIGH WINDS
HIGH WIND AND SEAS;HIGH WIND/SEAS
HIGH WIND AND HIGH TIDES;HIGH TIDES
HIGH WIND AND HEAVY SNOW;SNOW/ICE STORM
HIGH WIND 70;HIGH WINDS
HIGH WIND 63;HIGH WINDS
HIGH WIND 48;HIGH WINDS
HIGH WIND (G40);HIGH WINDS
HIGH WIND;HIGH WINDS
High Wind;HIGH WINDS
HIGH WAVES;HIGH TIDES
HIGH WATER;HIGH TIDES
HIGH TIDES;HIGH TIDES
HIGH TEMPERATURE RECORD;HIGH TEMPERATURE RECORD
HIGH SWELLS;HIGH SWELLS
HIGH SURF ADVISORY;HIGH SURF
HIGH SURF ADVISORIES;HIGH SURF
HIGH SURF;HIGH SURF
High Surf;HIGH SURF
HIGH SEAS;HIGH WIND/SEAS
HIGH  WINDS;HIGH WINDS
HIGH  SWELLS;HIGH  SWELLS
HIGH;HIGH
HEAVY WET SNOW;HEAVY SNOW
HEAVY SWELLS;HIGH SURF
HEAVY SURF/HIGH SURF;HIGH SURF
HEAVY SURF COASTAL FLOODING;HIGH SURF
Heavy surf and wind;HIGH SURF
HEAVY SURF;HIGH SURF
Heavy Surf;HIGH SURF
HEAVY SNOWPACK;SNOW/HIGH WINDS
HEAVY SNOW/WINTER STORM;SNOW/HIGH WINDS
HEAVY SNOW/WIND;SNOW/HIGH WINDS
HEAVY SNOW/SQUALLS;HEAVY SNOW/SQUALLS
HEAVY SNOW/SLEET;SNOW/SLEET
HEAVY SNOW/ICE STORM;SNOW/ICE STORM
HEAVY SNOW/ICE;SNOW/ICE STORM
HEAVY SNOW/HIGH WINDS/FREEZING;SNOW/HIGH WINDS
HEAVY SNOW/HIGH WINDS & FLOOD;SNOW/HIGH WINDS
HEAVY SNOW/HIGH WINDS;SNOW/HIGH WINDS
HEAVY SNOW/HIGH WIND;SNOW/HIGH WINDS
HEAVY SNOW/HIGH;SNOW/HIGH WINDS
HEAVY SNOW/FREEZING RAIN;SNOW/RAIN
HEAVY SNOW/BLOWING SNOW;SNOW/ICE STORM
HEAVY SNOW/BLIZZARD/AVALANCHE;SNOW/ICE STORM
HEAVY SNOW/BLIZZARD;SNOW/ICE STORM
HEAVY SNOW SQUALLS;HEAVY SNOW/SQUALLS
Heavy snow shower;HEAVY SNOW
HEAVY SNOW ANDBLOWING SNOW;SNOW/HIGH WINDS
HEAVY SNOW AND STRONG WINDS;SNOW/HIGH WINDS
HEAVY SNOW AND ICE STORM;SNOW/ICE STORM
HEAVY SNOW AND ICE;SNOW/ICE STORM
HEAVY SNOW AND HIGH WINDS;SNOW/HIGH WINDS
HEAVY SNOW AND;SNOW/HIGH WINDS
HEAVY SNOW & ICE;SNOW/ICE STORM
HEAVY SNOW   FREEZING RAIN;SNOW/RAIN
HEAVY SNOW-SQUALLS;SNOW SQUALLS
HEAVY SNOW;HEAVY SNOW
HEAVY SHOWERS;HEAVY RAINS
HEAVY SHOWER;HEAVY RAINS
HEAVY SEAS;HEAVY SEAS
HEAVY RAINS/FLOODING;HEAVY RAINS
HEAVY RAINS;HEAVY RAINS
HEAVY RAINFALL;HEAVY RAINS
HEAVY RAIN; URBAN FLOOD WINDS
HEAVY RAIN/WIND;RAINSTORM
HEAVY RAIN/URBAN FLOOD;HEAVY RAINS
HEAVY RAIN/SNOW;SNOW/RAIN
HEAVY RAIN/SMALL STREAM URBAN;HEAVY RAINS
HEAVY RAIN/SEVERE WEATHER;HEAVY RAINS
HEAVY RAIN/MUDSLIDES/FLOOD;HEAVY RAINS
HEAVY RAIN/LIGHTNING;HEAVY RAINS
Heavy Rain/High Surf;HEAVY RAINS
HEAVY RAIN/FLOODING;HEAVY RAINS
HEAVY RAIN EFFECTS;HEAVY RAINS
Heavy Rain and Wind;HEAVY RAINS
HEAVY RAIN AND FLOOD;HEAVY RAINS
HEAVY RAIN;HEAVY RAINS
Heavy Rain;HEAVY RAINS
Heavy rain;HEAVY RAINS
HEAVY PRECIPITATION;HEAVY RAINS
Heavy Precipitation;HEAVY RAINS
HEAVY PRECIPATATION;HEAVY RAINS
HEAVY MIX;SNOW/RAIN
HEAVY LAKE SNOW;SNOW/RAIN
Heatburst;HEAT/DROUGHT
HEAT/DROUGHT;HEAT/DROUGHT
HEAT WAVES;HEAT/DROUGHT
HEAT WAVE DROUGHT;HEAT/DROUGHT
HEAT WAVE;HEAT/DROUGHT
Heat Wave;HEAT/DROUGHT
HEAT DROUGHT;HEAT/DROUGHT
HEAT;HEAT/DROUGHT
HAZARDOUS SURF;HAZARDOUS SURF
HARD FREEZE;HARD FREEZE
HAILSTORMS;HAILSTORM
HAILSTORM;HAILSTORM
HAIL/WINDS;HAILSTORM
HAIL/WIND;HAILSTORM
HAIL/ICY ROADS;HAILSTORM
Hail(0.75);HAIL
HAIL STORM;HAIL
HAIL FLOODING;HAIL
HAIL DAMAGE;HAIL
HAIL ALOFT;HAIL
HAIL 88;HAIL
HAIL 80;HAIL
HAIL 75;HAIL
HAIL 450;HAIL
HAIL 275;HAIL
HAIL 225;HAIL
HAIL 200;HAIL
HAIL 175;HAIL
HAIL 150;HAIL
HAIL 125;HAIL
HAIL 100;HAIL
HAIL 1.75);HAIL
HAIL 1.75;HAIL
HAIL 1.00;HAIL
HAIL 088;HAIL
HAIL 075;HAIL
HAIL 0.88;HAIL
HAIL 0.75;HAIL
HAIL;HAIL
GUSTY WINDS;GUSTY WINDS
Gusty Winds;GUSTY WINDS
Gusty winds;GUSTY WINDS
Gusty wind/rain;GUSTY WINDS
GUSTY WIND/HVY RAIN;GUSTY WINDS
GUSTY WIND/HAIL;GUSTY WINDS
GUSTY WIND;GUSTY WINDS
Gusty Wind;GUSTY WINDS
GUSTY THUNDERSTORM WINDS;GUSTY WINDS
GUSTY THUNDERSTORM WIND;GUSTY WINDS
GUSTY LAKE WIND;GUSTY WINDS
GUSTNADO AND;GUSTY WINDS
GUSTNADO;GUSTY WINDS
GROUND BLIZZARD;SNOW/ICE STORM
GRASS FIRES;GRASS FIRES
GRADIENT WINDS;GRADIENT WIND
GRADIENT WIND;GRADIENT WIND
Gradient wind;GRADIENT WIND
gradient wind;GRADIENT WIND
GLAZE/ICE STORM;SNOW/ICE STORM
GLAZE ICE;SNOW/ICE STORM
GLAZE;SNOW/ICE STORM
Glaze;SNOW/ICE STORM
FUNNELS;FUNNELS
FUNNEL CLOUDS;FUNNELS
FUNNEL CLOUD/HAIL;FUNNELS
FUNNEL CLOUD.;FUNNELS
FUNNEL CLOUD;FUNNELS
Funnel Cloud;FUNNELS
FUNNEL;FUNNELS
FROST\FREEZE;FROST/FREEZE
FROST/FREEZE;FROST/FREEZE
Frost/Freeze;FROST/FREEZE
FROST;FROST/FREEZE
Frost;FROST/FREEZE
Freezing Spray;FREEZING RAIN
FREEZING RAIN/SNOW;SNOW/RAIN
FREEZING RAIN/SLEET;FREEZING RAIN
FREEZING RAIN SLEET AND LIGHT;FREEZING RAIN
FREEZING RAIN SLEET AND;FREEZING RAIN
FREEZING RAIN AND SNOW;FREEZING RAIN
FREEZING RAIN AND SLEET;FREEZING RAIN
FREEZING RAIN;FREEZING RAIN
Freezing Rain;FREEZING RAIN
Freezing rain;FREEZING RAIN
FREEZING FOG;FREEZING FOG
Freezing Fog;FREEZING FOG
FREEZING DRIZZLE AND FREEZING;FREEZING RAIN
FREEZING DRIZZLE;FREEZING RAIN
Freezing Drizzle;FREEZING RAIN
Freezing drizzle;FREEZING RAIN
FREEZE;FROST/FREEZE
Freeze;FROST/FREEZE
FOREST FIRES;FROST/FREEZE
FOG AND COLD TEMPERATURES;FROST/FREEZE
FOG;FOG
FLOODS;FLOODS
FLOODING/HEAVY RAIN;FLOODS
FLOODING;FLOODS
Flood/Strong Wind;RAINSTORM
FLOOD/RIVER FLOOD;FLOODS
FLOOD/RAIN/WINDS;RAINSTORM
FLOOD/RAIN/WIND;RAINSTORM
FLOOD/FLASHFLOOD;FLOODS
FLOOD/FLASH/FLOOD;FLOODS
FLOOD/FLASH FLOODING;FLOODS
FLOOD/FLASH FLOOD;FLOODS
Flood/Flash Flood;FLOODS
FLOOD/FLASH;FLOODS
FLOOD WATCH/;FLOODS
FLOOD FLOOD/FLASH;FLOODS
FLOOD FLASH;FLOODS
FLOOD & HEAVY RAIN;FLOODS
FLOOD;FLOODS
Flood;FLOODS
FLASH FLOOODING;FLOODS
FLASH FLOODS;FLOODS
FLASH FLOODING/THUNDERSTORM WI;FLOODS
FLASH FLOODING/FLOOD;FLOODS
FLASH FLOODING;FLOODS
FLASH FLOOD/LANDSLIDE;FLOODS
FLASH FLOOD/HEAVY RAIN;FLOODS
FLASH FLOOD/FLOOD;FLOODS
FLASH FLOOD/ STREET;FLOODS
FLASH FLOOD/ FLOOD;FLOODS
FLASH FLOOD/;FLOODS
FLASH FLOOD WINDS;FLOODS
FLASH FLOOD LANDSLIDES;FLOODS
FLASH FLOOD FROM ICE JAMS;FLOODS
FLASH FLOOD - HEAVY RAIN;FLOODS
FLASH FLOOD;FLOODS
FIRST SNOW;EARLY SNOWFALL
FIRST FROST;EARLY FROST
FALLING SNOW/ICE;SNOW/ICE
EXTREMELY WET;EXTREMELY WET
EXTREME/RECORD COLD;EXTREME COLD
EXTREME WINDCHILL TEMPERATURES;EXTREME WIND CHILL
EXTREME WINDCHILL;EXTREME WIND CHILL
EXTREME WIND CHILLS;EXTREME WIND CHILL
EXTREME WIND CHILL/BLOWING SNO;EXTREME WIND CHILL
EXTREME WIND CHILL;EXTREME WIND CHILL
EXTREME HEAT;HIGH TEMPERATURE RECORD
EXTREME COLD/WIND CHILL;EXTREME COLD
EXTREME COLD;EXTREME COLD
Extreme Cold;EXTREME COLD
Extended Cold;EXTREME COLD
EXCESSIVELY DRY;HEAT/DROUGHT
EXCESSIVE WETNESS;EXTREMELY WET
EXCESSIVE SNOW;EXCESSIVE SNOW
EXCESSIVE RAINFALL;HEAVY RAINS
EXCESSIVE RAIN;HEAVY RAINS
EXCESSIVE PRECIPITATION;EXCESSIVE PRECIPITATION
EXCESSIVE HEAT/DROUGHT;HEAT/DROUGHT
EXCESSIVE HEAT;HEAT/DROUGHT
Excessive Cold;EXTREME COLD
EXCESSIVE;EXCESSIVE
Erosion/Cstl Flood;Erosion/Cstl Flood
EARLY SNOWFALL;EARLY SNOWFALL
Early snowfall;EARLY SNOWFALL
EARLY SNOW;EARLY SNOWFALL
EARLY RAIN;EARLY RAIN
EARLY FROST;EARLY FROST
Early Frost;EARLY FROST
EARLY FREEZE;EARLY FROST
DUSTSTORM;DUST STORM
DUST STORM/HIGH WINDS;DUST STORM
DUST STORM;DUST STORM
DUST DEVIL WATERSPOUT;DUST STORM
DUST DEVIL;DUST STORM
Dust Devil;DUST STORM
DUST DEVEL;DUST STORM
DRYNESS;HEAT/DROUGHT
DRY WEATHER;HEAT/DROUGHT
DRY SPELL;HEAT/DROUGHT
DRY PATTERN;DRY PATTERN
DRY MIRCOBURST WINDS;DRY MICROBURST
DRY MICROBURST WINDS;DRY MICROBURST
DRY MICROBURST 84;DRY MICROBURST
DRY MICROBURST 61;DRY MICROBURST
DRY MICROBURST 58;DRY MICROBURST
DRY MICROBURST 53;DRY MICROBURST
DRY MICROBURST 50;DRY MICROBURST
DRY MICROBURST;DRY MICROBURST
DRY HOT WEATHER;HEAT/DROUGHT
DRY CONDITIONS;HEAT/DROUGHT
DRY;HEAT/DROUGHT
DROWNING;DROWNING
DROUGHT/EXCESSIVE HEAT;HEAT/DROUGHT
DROUGHT;HEAT/DROUGHT
Drifting Snow;SNOW
DRIEST MONTH;HEAT/DROUGHT
DOWNBURST WINDS;DOWNBURST WINDS
DOWNBURST;DOWNBURST WINDS
DENSE SMOKE;DENSE SMOKE
DENSE FOG;DENSE FOG
DEEP HAIL;DEEP HAIL
DAMAGING FREEZE;FROST/FREEZE
Damaging Freeze;FROST/FREEZE
DAM FAILURE;DAM FAILURE
DAM BREAK;DAM FAILURE
CSTL FLOODING/EROSION;COASTAL FLOODING
COOL SPELL;COOL SPELL
COOL AND WET;COOL AND WET
COLD/WINDS;LOW TEMPERATURE
COLD/WIND CHILL;LOW TEMPERATURE
COLD WIND CHILL TEMPERATURES;LOW TEMPERATURE
COLD WEATHER;LOW TEMPERATURE
COLD WAVE;LOW TEMPERATURE
COLD TEMPERATURES;LOW TEMPERATURE
Cold Temperature;LOW TEMPERATURE
COLD AND WET CONDITIONS;LOW TEMPERATURE
COLD AND SNOW;SNOW
COLD AND FROST;LOW TEMPERATURE
Cold and Frost;LOW TEMPERATURE
COLD AIR TORNADO;COLD AIR TORNADO
COLD AIR FUNNELS;COLD AIR FUNNELS
COLD AIR FUNNEL;COLD AIR FUNNELS
COLD;LOW TEMPERATURE
Cold;LOW TEMPERATURE
COASTALSTORM;COASTAL FLOODING
COASTALFLOOD;COASTAL FLOODING
COASTAL/TIDAL FLOOD;COASTAL FLOODING
COASTAL SURGE;COASTAL FLOODING
COASTAL STORM;COASTAL FLOODING
Coastal Storm;COASTAL FLOODING
COASTAL FLOODING/EROSION;COASTAL FLOODING
COASTAL FLOODING;COASTAL FLOODING
Coastal Flooding;COASTAL FLOODING
coastal flooding;COASTAL FLOODING
COASTAL FLOOD;COASTAL FLOODING
Coastal Flood;COASTAL FLOODING
COASTAL EROSION;COASTAL FLOODING
COASTAL  FLOODING/EROSION;COASTAL FLOODING
BRUSH FIRES;BRUSH FIRE
BRUSH FIRE;BRUSH FIRE
BREAKUP FLOODING;BREAKUP FLOODING
BLOWING SNOW/EXTREME WIND CHIL;SNOW/ICE STORM
BLOWING SNOW & EXTREME WIND CH;SNOW/ICE STORM
BLOWING SNOW- EXTREME WIND CHI;SNOW/ICE STORM
BLOWING SNOW;SNOW/ICE STORM
Blowing Snow;SNOW/ICE STORM
blowing snow;SNOW/ICE STORM
BLOWING DUST;SNOW/ICE STORM
BLOW-OUT TIDES;SNOW/ICE STORM
BLOW-OUT TIDE;SNOW/ICE STORM
BLIZZARD/WINTER STORM;SNOW/ICE STORM
BLIZZARD/HIGH WIND;SNOW/ICE STORM
BLIZZARD/HEAVY SNOW;SNOW/ICE STORM
BLIZZARD/FREEZING RAIN;SNOW/ICE STORM
BLIZZARD WEATHER;SNOW/ICE STORM
Blizzard Summary;SNOW/ICE STORM
BLIZZARD AND HEAVY SNOW;SNOW/ICE STORM
BLIZZARD AND EXTREME WIND CHIL;SNOW/ICE STORM
BLIZZARD;SNOW/ICE STORM
BLACK ICE;SNOW/ICE STORM
Black Ice;SNOW/ICE STORM
BITTER WIND CHILL TEMPERATURES;BITTER WIND CHILL TEMPERATURES
BITTER WIND CHILL;BITTER WIND CHILL TEMPERATURES
BELOW NORMAL PRECIPITATION;BELOW NORMAL PRECIPITATION
BEACH FLOOD;COASTAL FLOODING
BEACH EROSION/COASTAL FLOOD;COASTAL FLOODING
BEACH EROSION;COASTAL FLOODING
Beach Erosion;COASTAL FLOODING
BEACH EROSIN;COASTAL FLOODING
AVALANCHE;AVALANCHE
AVALANCE;AVALANCHE
ASTRONOMICAL LOW TIDE;ASTRONOMICAL LOW TIDE
ASTRONOMICAL HIGH TIDE;ASTRONOMICAL HIGH TIDE
APACHE COUNTY;APACHE COUNTY
AGRICULTURAL FREEZE;AGRICULTURAL FREEZE
ACCUMULATED SNOWFALL;EXCESSIVE SNOW
ABNORMALLY WET;HEAT/DROUGHT
ABNORMALLY DRY;EXTREMELY WET
ABNORMAL WARMTH;UNUSUALLY WARM
?;
